# ----------------------------------------
# www.philschanely.com
# Browser & OS
# 20141001-20141031
# ----------------------------------------

Screen Resolution,Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
1366x768,/,12,100.00%,12,100.00%,1.00,00:00:00,0.00%,0,$0.00
1024x768,/,7,100.00%,7,100.00%,1.00,00:00:00,0.00%,0,$0.00
1440x900,/,6,83.33%,5,33.33%,1.67,00:02:51,0.00%,0,$0.00
1920x1080,/,6,100.00%,6,66.67%,1.00,00:01:06,0.00%,0,$0.00
1280x1024,/,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
1600x900,/,4,100.00%,4,100.00%,1.00,00:00:00,0.00%,0,$0.00
1280x800,/,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
1280x800,/index.php/temp,2,0.00%,0,0.00%,2.50,00:00:21,0.00%,0,$0.00
1360x768,/,2,100.00%,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
1920x1200,/,2,100.00%,2,0.00%,1.00,00:04:18,0.00%,0,$0.00
2560x1440,/,2,100.00%,2,50.00%,1.50,00:00:59,0.00%,0,$0.00
1280x720,/,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
1280x768,/,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
1680x1050,/,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
320x397,/,1,100.00%,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
,,53,94.34%,50,79.25%,1.55,00:00:40,0.00%,0,$0.00

Day Index,Sessions
10/1/14,2
10/2/14,1
10/3/14,2
10/4/14,5
10/5/14,1
10/6/14,3
10/7/14,2
10/8/14,3
10/9/14,5
10/10/14,2
10/11/14,1
10/12/14,2
10/13/14,0
10/14/14,0
10/15/14,0
10/16/14,0
10/17/14,2
10/18/14,2
10/19/14,3
10/20/14,1
10/21/14,3
10/22/14,1
10/23/14,0
10/24/14,1
10/25/14,0
10/26/14,5
10/27/14,0
10/28/14,1
10/29/14,3
10/30/14,0
10/31/14,2
,53

